Donor Name,Flow Type,Aid Type,Channel/ Receipient,Description,Amount
Israel,International,Inkind,Various Recipients,"A 260 member mission from the Home Front Command; the mission rapidly established and opened an advanced multi-department hospital in Kathmandu, equipped with approximately 95 tons of humanitarian and medical supplies and a medical staff of 122 doctors, nurses and paramedics, to provide care for disaster casualties. The facility and includes pediatric, surgical, internal medicine, neonatal, and radiology departments as well as a maternity ward and emergency and operating rooms. The hospital has the equipment, capacity and manpower to treat approximately 200 patients each day; the mission also comprises highly skilled search and rescue teams from the IDF National Search and Rescue Unit, who commenced operation in Kathmandu on 28 April 2015.",0
Italy,International,Inkind,Various Recipients,relief team - medical team,0
Italy,International,Cash,Bilateral (affected government),"Humanitarian flight from Dubai: Dispatch to Kathmandu of blankets, tarpaulins, tents, water purification unit and water storage and distribution to assist earthquake –affected people in Nepal.",108342
Italy,International,Cash,IFRC,"Multilateral contribution to the IFRC Emergency appeal called “Nepal: Earthquake” to provide assistance to earthquake-affected people in Nepal with a focus on emergency health and care, emergency shelter and settlements, livelihoods, restoring family links, safe and dignified burials, National Society institutional preparedness and capacity development, community preparedness and risk reduction. (Emergency Appeal n. MDRNP008)",325027
Japan,International,Cash,OCHA,Strengthening Humanitarian Coordination and Advocacy in Nepal (OCT 4851),200000
Japan,International,Cash,Various Recipients,to support the Government of Nepal which has been suffering from the damage caused by the massive earthquake occurred on April 25.,8200001
Japan,International,Inkind,Various Recipients,"Japan Disaster Relief (JDR) Rescue Team, with 70 members; assessment team which consists of 4 members; Japan Disaster Relief Medical Team",0
Japan,International,Cash,Bilateral (affected government),"to provide emergency relief goods (Tents, blankets etc.) to Nepal, in response to the request from the Government of Nepal following the damage caused by the massive earthquake.",208472
"Korea, Republic of",International,Cash,Various Recipients,emergency assistance,1000000
"Korea, Republic of",International,Inkind,Various Recipients,"Dispatch KDRT (Korean Disaster Relief Team), composed of 40 members, mainly SAR and medical staff.",0
Kuwait,International,Cash,Various Recipients,Pledge for humanitarian assistance,3000000
Lithuania,International,Cash,UNICEF,to be allocated to specific projects,19912
Luxembourg,International,Inkind,Various Recipients,relief team - Telecoms and ICT,0
Malaysia,International,Inkind,Various Recipients,"relief team - Special Malaysia Disaster Assistance and Rescue Team (SMART) -20 medical doctors, 30-man rescue team with medicines and medical supplies to Kathmandu",0
Mexico,International,Inkind,Various Recipients,relief team,0
Morocco,International,Cash,OCHA,Strengthening Humanitarian Coordination and Advocacy in Nepal (OCT 4852),1000000
Netherlands,International,Inkind,Various Recipients,"relief team - USAR - 62-human and 8-dog contingent; Dutch physicians, nurses, and engineers, as well as 5 tons of relief supplies",0
New Zealand,International,Cash,NGOs,to support NZ NGOs with in country partners in Nepal following the 25 April Earthquake,753012
New Zealand,International,Cash,Various Recipients,to support the relief efforts in Nepal following the Earthquake in April 2015 (unallocated balance of NZD 1 million),218374
New Zealand,International,Cash,Various Recipients,NZ Government contribution to the NZ Himalayan Fund Trust Nepal Earthquake Appeal. Focus is on rebuilding schools and infrastructure.,38521
New Zealand,International,Cash,New Zealand RC,NZ Government contribution to the NZ Red Cross Emergency Response Unit deployment to Nepal.,123267
New Zealand,International,Cash,IFRC,"NZ Government contribution to the IFRC Flash Appeal, through the NZ Red Cross.",385208
Norway,International,Cash,WHO,Health,1322401
Norway,International,Inkind,Various Recipients,relief team - USAR,0
Norway,International,Cash,Various Recipients,emergency assistance,3900000
Pakistan,International,Inkind,Various Recipients,"four C-130 aircraft carrying a 30-bed field hospital and army doctors and specialists; urban search-and-rescue teams equipped with radars and sniffer dogs; and food items, including 2,000 meals, 200 tents and 600 blankets",0
Philippines,International,Inkind,Various Recipients,"in kind - - Medical team- The Philippine Red Cross’ (PRC) emergency response unit (ERU) search and rescue team, composed of 13 trained emergency response personnel- The Armed Forces of the Philippines (AFP) - six humanitarian disaster response teams, one medical team, and a command and control team. Each team is composed of one officer and 14 enlisted personnel.",0
Poland,International,Inkind,Various Recipients,"relief team - USAR - 81 fire fighters, 12 search and rescue dogs and 6 doctors",0
Poland,International,Inkind,Bilateral (affected government),"in kind - Humanitarian aid: food, medicines, cleaning agents, water purification agents, tents, sleeping bags",0
Private (individuals & organisations),International,Cash,Various Recipients,"Temporary shelters for 270 families, Food ration for 270 families for 2 weeks, Solar lights, Hygiene kits for 270 families, mobile medical services for at least 3000 clients, Chlorine for purification of water (through Health And Nutrition Development Society [HANDS Pakistan])",25000
Qatar,International,Inkind,Various Recipients,"Naval bridge - to supply aid to the Nepalese population affected by a massive earthquake - four aircrafts carrying total 240 metric tons relief items (60 tons each) were sent on 26 and 27 April, including foodstuffs, medicines, power generators and tents.",0
Qatar,International,Inkind,Various Recipients,"In kind - Qatar Red Crescent dispatched 21 professionals and volunteers to Kathmandu to implement quick assessment of damages; will distribute emergency relief materials including food packages, hygiene kits, sheltering materials, tarpaulin sheets and medical supplies. - QRC team setup a field hospital on 27 April, constituted of tents, medical and non-medical equipment to provide a full range of medical services to more than 30,000 individuals for 30 to 120 days, with 40 beds.- QRC provide 'Kit 5' water and sanitation system, which is capable of providing clean water supplies for 5,000 beneficiaries. The system contains three high-quality water tanks (Oxfam) that protects water from being polluted.",0
Red Cross Society of China,International,Cash,Various Recipients,financial and in-kind contribution (including 2000 tents),840000
Russian Federation,International,Inkind,Various Recipients,relief team - USAR/EMERCOM,0
Singapore,International,Inkind,Various Recipients,"relief team - Search & Rescue cum Medical Team - 69-member Operation Lionheart disaster relief contingent, comprising officers from the Singapore Civil Defence Force (SCDF) and Singapore Police Force (SPF); Singapore Armed Forces (SAF) medical team of 16 medical personnel; Team of six personnel from the Changi Regional Humanitarian Assistance and Disaster Relief (HADR) Coordination Centre; Deployment of two Republic of Singapore Air Force (RSAF) C-130 aircraft to provide airlift support to transport the Singapore relief contingent and their equipment",0
Singapore,International,Cash,Singaport RC,in kind - relief items and emergency supplies,36390
Singapore,International,Cash,Singaport RC,Humanitarian assistance to affected populations,72780
Singapore Red Cross Society,International,Cash,Various Recipients,relief items and emergency supplies in response to the earthquake that struck Nepal,36390
South Africa,International,Cash,Various Recipients,"in kind - Two SAR specialist teams on standby and ready to deploy); Rescue South Africa put on stand by: 20 well equipped search and rescue personnel and 20 trauma specialists; the Life Locator, the search cam; a fully fledged emergency mobile hospital.",426985
Spain,International,Inkind,Various Recipients,relief team - BOMBEROS SIN FRONTERAS,0
Spain,International,Cash,Bilateral (affected government),"In-kind - Distribution of shelter, water/sanitation and medicine items - (Water purification modules + Jerry Cans; 4x4 family tents all weather; Tarpaulins; Kitchen Sets; Blankets; Hygienic Kits, latrines; A flight with 31 tons of NFIs (shelter, WASH, medical)",341278
Sri Lanka,International,Inkind,Various Recipients,"Relief supplies - medicines dressing items, generators, wire rolls, bulbs, gloves, tissues, medical equipment, drinking water bottles, dry rations",0
Sweden,International,Inkind,Various Recipients,in kind - - Deployed a Heavy USAR team; about 70 persons as well as search and rescue dogs and equipment; 1 Operational coordination centre (TASK); Deploying experts with the United Nations Disaster Assessment and Coordination team,0
Sweden,International,Cash,Various Recipients,Emergency response - unallocated balance of SEK 20 mn,1753131
Sweden,International,Cash,MSB,Secondment of ICT officer to UNDAC,145146
Sweden,International,Cash,Plan Sweden,Education and Protection,274299
Sweden,International,Cash,ACT/CoS,Emergency response to earthquake affected in Nepal,357782
Sweden,International,Cash,Sweden RC,Response to earthquake,580585
Switzerland,International,Cash,Various Recipients,SET Emergency Response Earthquake (7F-09354.01),1036269
Switzerland,International,Cash,Various Recipients,#NAME?,3270042
Taiwan ICDF,International,Cash,Various Recipients,emergency response,300000
Thailand,International,Cash,Various Recipients,to provide emergency relief to populations affected the devastating earthquake in Nepal.,3300000
Thailand,International,Inkind,Various Recipients,"in kind - 5 Medical staff from the Ministry of Public Health; 19-member Medical Emergency Response Team; 67-strong team of military experts in disaster relief comprising 17 military surgeons, military engineers, satellite communication experts and search-and-rescue staff via C-130 carrying drinking water rice blankets and tents; 6 engineers",0
Thailand,International,Cash,Various Recipients,to provide emergency relief to populations affected by the devastating earthquake in Nepal.,200000
Thailand,International,Cash,Various Recipients,to support the people of Nepal,333333
Thailand,International,Cash,Thailand RC,to provide emergency relief to populations affected by the devastating earthquake in Nepal.,500000
Thailand,International,Cash,Various Recipients,"to provide emergency relief to populations affected by the devastating earthquake in Nepal. (Government initiated Fund raising activity - Donation from the civil society (the government allocated a TV program ""Thai Hearts for Nepal"" )",1870000
Turkey,International,Inkind,Various Recipients,"relief team - USAR/GEA SAR Team - A Turkish Search and Rescue (SAR) Team and Humanitarian Personnel, Turkish Red Crescent and Turkish NGOs (42 people)",0
Turkey,International,Cash,Various Recipients,"cargo flight including a total of 10,000 KG medicine, food and hygiene kits",165000
Turkish Red Crescent Society,International,Cash,Nepal RC,in kind - 1000 blankets,5481
Turkish Red Crescent Society,International,Cash,Nepal RC,in kind - 320 food parcels,5871
Turkish Red Crescent Society,International,Cash,Nepal RC,in kind - 5 inflatable tents,23289
United Arab Emirates,International,Inkind,Various Recipients,Search and Rescue (SAR) team from the Ministry of Interior (87 team members) have been deployed to Nepal.,0
United Arab Emirates,International,Cash,Various Recipients,emergency response (from Mohammed bin Rashid Al Maktoum Charity and Humanitarian Establishment),544514
United Arab Emirates,International,Cash,Various Recipients,emergency response (from Sharjah Charity Association),95290
United Arab Emirates,International,Inkind,Various Recipients,"emergency response (from The Khalifa Foundation - sent workers to India to buy food and another team to Nepal, and will work to secure convoys of emergency relief. )",0
United Arab Emirates,International,Inkind,Various Recipients,air bridge of humanitarian aid to Nepal. The total volume of shipment that shall be sent through the air bridge will exceed 450 metric tonnes that contain various relief items.,0
United Arab Emirates,International,Cash,Various Recipients,"emergency response (from H.H. Sheikha Fatima bint Mubarak, Chairwoman of the General Women’s Union (GWU))",1361285
United Kingdom,International,Cash,DEC (UK),matching the first £5m of public donations to the DEC appeal,7704160
United Kingdom,International,Cash,British RC,to help people affected by the Nepal earthquake,2958580
United Kingdom,International,Cash,Various Recipients,Rapid Response Facility so partners can address immediate needs on the ground,4437870
United Kingdom,International,Cash,Various Recipients,"relief team - more than 60 search and rescue responders and medical experts; 30-strong medical team carrying 8 tonnes of equipment including medical supplies and bandages, a generator and tents; 8-strong team of British disaster and rescue experts to help assess and coordinate the international effort; RAF C-17 aircraft carrying more than 1,100 shelter kits and over 1,700 solar lanterns, along with a team of Gurkha engineers; •airfield handling equipment including 2 forklift trucks to facilitate the swift movement of aid supplies off aircraft and help to ease congestion at Kathmandu airport; agreement to fund humanitarian secondees to the World Food Programme, Unicef and UNFPA - experts in water, health and sanitation who will ensure support for the most vulnerable people affected by this disaster",7704160
United States of America,International,Cash,OCHA,Strengthening Humanitarian Coordination and Advocacy in Nepal (OCT 4847) [USAID/OFDA],500000
United States of America,International,Cash,IOM,to be allocated to specific projects (USAID/OFDA),442094
United States of America,International,Cash,WFP,Local and regional food procurement (USAID/FFP),2500000
United States of America,International,Cash,SC,Shelter and settlements (USAID/OFDA),1000000
United States of America,International,Cash,Various Recipients,DART/USAR Support Costs -deployed a 128-person DART to support emergency response efforts in cooperation with the GoN. The team comprises 14 USAID/OFDA humanitarian specialists and 114 USAR personnel. (USAID/OFDA),1842639
United States of America,International,Cash,Various Recipients,Logistics support (DoD),2225000
United States of America,International,Cash,Various Recipients,"to address immediate, life-saving priorities, including search-and-rescue efforts, the provision of emergency shelter support, and additional needs that emerge in the coming days",6215267
Various Donors (details not yet provided),International,Cash,WHO,life-saving humanitarian support to Nepal (through WHO South-East Asia Regional Health Emergency Fund [SEARHEF]),175000
World Jewish Relief,International,Cash,Various Recipients,"Humanitarian Aid: Food, Shelter, Medical Supplies (through Friends Service Council Nepal)",40355
3M,International,Cash,Information on recipient not available,"In response to the tragedy in Nepal, 3M has committed $150,000 in cash and product contributions to support victims in affected areas.",150000
Abbott,International,Cash,"CARE,United Nation World Food Programme and AmeriCares","Abbott and its foundation the Abbott Fund are providing $300,000 in grants and healthcare products to help deliver immediate relief following the devastating earthquake in Nepal. The Abbott Fund is providing $200,000 in grants to CARE, the United Nations World Food Programme (WFP) and AmeriCares. Abbott also is donating up to $100,000 of critically needed healthcare products to humanitarian organizations providing on-the-ground support in Nepal.",20000
Abbott,International,Inkind,Humanitarian Organizations Providing on-the-ground support,"Abbott and its foundation the Abbott Fund are providing $300,000 in grants and healthcare products to help deliver immediate relief following the devastating earthquake in Nepal. The Abbott Fund is providing $200,000 in grants to CARE, the United Nations World Food Programme (WFP) and AmeriCares. Abbott also is donating up to $100,000 of critically needed healthcare products to humanitarian organizations providing on-the-ground support in Nepal.",100000
Air Products,International,Cash,Red Cross disaster relief fund,"Air Products Foundation committed $25,000 to support relief efforts through a contribution to the Red Cross disaster relief fund.",25000
Airtel,International,Inkind,Information on recipient not available,Airtel announced that all calls between India and Nepal would be free of charge following the earthquake and subsequent destruction.,
American Express,International,Cash,"American Red Cross, Save the Children and the Prime Minister's National Relief Fund in India","American Express committed $200,000 to support the efforts of the American Red Cross, Save the Children and the Prime Minister's National Relief Fund in India. The company will also rebate the applicable merchant transaction fee to eight U.S.-based nonprofit organizations for earthquake relief donations made directly to the organizations using their American Express Cards through May 31, 2015. It will also match employee donations up to $8000 per employee.",200000
Amgen,International,Cash,"UNICEF, Red Cross, International Medical Corps and Direct Relief International.","The Amgen Foundation Disaster Relief Program has been opened for global staff. Amgen Foundation will match staff donations 1:1 made to the following responding organizations: UNICEF, Red Cross, International Medical Corps and Direct Relief International.",0
Apple,International,Cash,Red Cross,"Apple is inviting iTunes users to donate to the American Red Cross. The appeal allows donations from $5 to $200, with 100% of the funds donated being passed anonymously to the Red Cross.",0
Aqua Research LLC,International,Inkind,Information on recipient not available,Research Company Aqua Research LLC has donated 40 handheld water purifiers to relief efforts in Nepal. The handheld devices can treat up to 80 gallons of water in minutes and operate on solar power rechargeable batteries.,
Aramark,International,Cash,American Red Cross Nepal Earthquake Relief,"Aramark has made a $100,000 contribution to the American Red Cross Nepal Earthquake Relief from the Aramark Charitable Fund. The company is also supporting and encouraging employees around the world to support through the American Red Cross and other relief organizations.",100000
AT&T,International,Inkind,Information on recipient not available,"AT&T will not charge customers for text messages or International long distance usage from AT&T phones from the U.S., Puerto Rico and the U.S. Virgin Islands to Nepal from April 25 through May 16.",
AXA,International,Inkind,Nepal Red Cross,"As a member of the Red Cross' Disaster Responder Program, AXA Foundation support in ""pre-investment in disaster relief"" is already helping on the ground action with the Nepal Red Cross. AXA will match employees' and financial professionals' donations through the AXA Disaster Matching Gifts program.",
Bank of Montreal,International,Cash,Red Cross' Nepal Region Earthquake Fund,"The Bank of Montreal Financial Group announced that the organization will be donating $25,000 to the Red Cross' Nepal Region Earthquake Fund.",25000
Bell,International,Cash,Canadian Red Cross,"Canada's largest communications company, Bell, donated $100,000 to the Canadian Red Cross to support relief efforts in Nepal. In addition, Bell is working with Humanitarian Coalition to launch a PSA campaign through the media.",100000
BJ's Wholesale Club,International,Inkind,UNICEF,BJ's Wholesale Club has given its team members the opportunity to make an emergency donation via a one-time payroll deduction to the United States Fund for UNICEF.,
"C&S Wholesale Grocers, Inc.",International,Inkind,World Food Programme,C&S Wholesale Grocers is making a donation to the World Food Programme to support food assistance to survivors.,
Canon,International,Cash,Information on recipient not available,"In response to the Nepal earthquake, the Canon Group is donating $42,000 for earthquake victim relief in the stricken area.",42000
CH2M Hill,International,Cash,Local Red Cross and Red Crescents,"Committed $10,000 matching gift challenges to employees who immediately donated $35,000 to their local Red Cross and Red Crescents. As of May 1, charitable impact is $45,000.",45000
CIBC,International,Cash,Canadian Red Cross,"In addition to a $50,000 donation to the Canadian Red Cross, the Canadian Imperial Bank of Commerce will be accepting donations at the CIBC brach locations across Canada on behalf of the Canadian Red Cross.",50000
Cisco,International,Cash,Information on recipient not available,"A Cisco Foundation giving campaign is matching up to $1 million of employee donations. The Cisco Tactical Operations team is coordinating with international response partners and local government contacts, and is ready to respond with people, technology, and expertise.",1000000
The Clorox Company,International,Cash,Information on recipient not available,"The Clorox Company is matching donations made to relief organizations dollar for dollar up to $2,500 through its workplace giving program.",2500
Coca-Cola,International,Inkind,Survivors,"Fortunately, Coca-Cola's two bottling companies located in Kathmandu and Bharatpur have not been affected, and the company pledges to work on providing bottled water to survivors as soon as possible.",
Columbia Sportswear,International,Cash,"Non-profit organizations working in Nepal including Mercy Corps, OXFAM, and UNICEF","In a press release, The Columbia Sportswear Company announced their plans to donate $50,000 to the efforts of several non-profit organizations working in Nepal including Mercy Corps, OXFAM, and UNICEF. In addition, Columbia is committing to make product donations in the near future.",50000
DHL,International,Inkind,UN Office for the Coordination of Humanitarian Affairs,"DHL's Disaster Response Team (DRT) is on the ground in Nepal, ready to provide logistics support and help guide incoming aid through the Kathmandu International Airport. The DHL DRT will be working alongside the UN Office for the Coordination of Humanitarian Affairs.",
Diageo,International,Inkind,CARE International,"Diageo is providing emergency disaster relief in the form of two WHO Medical Kits, hygiene kits and water purification tablets. The WHO Medical Kits contain enough medical supplies, basic pharmaceuticals and basic surgical equipment for a population of 20,000 for three months. Diageo has established a global online donation portal for employees to make contributions which will be directed through CARE International, with an initial donation from the Diageo Foundation.",
DSM,International,Cash,UN World Food Programme,"DSM will be contributing $50,000 and matching employee contributions to $100,000 to the UN World Food Programme Nepal relief efforts. DSM will also be assisting with technical nutrition advice and supplying MixMe sachets of vitamins and minerals to ensure WFP food assistance in Nepal contains sufficient nutrition.",60000
Economical Insurance,International,Cash,Canadian Red Cross,"Economical Insurance, a Canadian insurance company, donated $10,000 to the Canadian Red Cross relief efforts to show their support of the people in Nepal.",10000
Facebook,International,Cash,International Medical Corps,"Facebook's recently released 'Safety Check' feature will allow users in the devastated region to notify their friends and family via the social media site of their safety status. Facebook friends can see which friends have marked themselves as ""safe"" and which have not yet declared their status. Additionally, Facebook users may see an option to donate money to the International Medical Corps who are on the ground helping people in the affected areas. Facebook will match every dollar donated up to $2 million.",2000000
Fast Retailing Co.,International,Cash,United Nations Children's Fund,"Fast Retailing Co announced a $50,000 donation to the United Nations Children's Fund to support earthquake relief efforts. In addition, the organization is working with NGOs to determine the need for clothing donations in the future.",50000
FedEx,International,Cash,"Direct Relief, Heart to Heart International, Water Missions International, American Red Cross and The Salvation Army","FedEx Corporation has committed approximately $1 million in cash, transportation support and a chartered flight to deliver critical medical aid and supplies. We are mobilizing our disaster relief program through relationships with Direct Relief, Heart to Heart International, Water Missions International, American Red Cross and The Salvation Army.",1000000
Feizy Rugs,International,Cash,Global Fund for Children,"In response to the Nepal earthquake, Feizy Rugs announced a $15,000 donation to The Global Fund for Children. In addition, the company will donate a portion of their sales through May 15 to disaster relief efforts.",15000
"Gap, Inc.",International,Inkind,Alliance for Bangladesh Worker Safety,Donations made by Gap employees through Mercy Corps will be matched by the organization. Gap is working with the Alliance for Bangladesh Worker Safety to ensure that employees in garment factories in the region are safe.,
General Mills,International,Cash,"CARE,Red Cross","The General Mills Foundation is providing a $50,000 to CARE to support long-term recovery efforts. The Foundation is also offering a $1:$1 match of employee contributions (up to $50,000 in total) to the Red Cross to support immediate relief and recovery work on the ground. In addition to the cash grant and match contribution, thousands of Nature Valley granola bars are also being donated by General Mills India to help feed victims of the earthquake.",50000
Google,International,Cash,Information on recipient not available,"Through Google's Person Finder function, Google is helping to locate individuals in the stricken region. The Person Finder function allows family members and friends to request and provide information about missing persons on the site. Google Voice has also decreased the cost of calls per minute to Nepal. In addition, following the news of the death of a Google employee at a Mount Everest base camp, Google.org announced a $1M commitment and a $1M employee disaster gift match campaign in response.",2000000
